ID Year,Year,ID Race,Race,Household Income by Race,Household Income by Race Moe,Geography,ID Geography
2016,2016,0,Total,45114,8484,"Census Tract 786, Kings County, NY",14000US36047078600
2016,2016,0,Total,33301,9182,"Census Tract 788, Kings County, NY",14000US36047078800
2016,2016,0,Total,41443,8445,"Census Tract 790, Kings County, NY",14000US36047079000
2016,2016,0,Total,36982,4793,"Census Tract 792, Kings County, NY",14000US36047079200
2016,2016,0,Total,36237,1804,"Census Tract 794, Kings County, NY",14000US36047079400
2016,2016,0,Total,53289,13419,"Census Tract 796.01, Kings County, NY",14000US36047079601
2016,2016,0,Total,40000,6348,"Census Tract 796.02, Kings County, NY",14000US36047079602
2016,2016,0,Total,71272,15278,"Census Tract 798.01, Kings County, NY",14000US36047079801
2016,2016,0,Total,60696,3362,"Census Tract 798.02, Kings County, NY",14000US36047079802
2016,2016,0,Total,67981,10434,"Census Tract 800, Kings County, NY",14000US36047080000
2016,2016,0,Total,45030,5102,"Census Tract 802, Kings County, NY",14000US36047080200
2016,2016,0,Total,32899,3839,"Census Tract 804, Kings County, NY",14000US36047080400
2016,2016,0,Total,39536,18328,"Census Tract 806, Kings County, NY",14000US36047080600
2016,2016,0,Total,9740,1765,"Census Tract 808, Kings County, NY",14000US36047080800
2016,2016,0,Total,43229,6439,"Census Tract 810, Kings County, NY",14000US36047081000
2016,2016,0,Total,40705,7980,"Census Tract 814, Kings County, NY",14000US36047081400
2016,2016,0,Total,41071,6195,"Census Tract 816, Kings County, NY",14000US36047081600
2016,2016,0,Total,47378,5287,"Census Tract 818, Kings County, NY",14000US36047081800
2016,2016,0,Total,36921,9907,"Census Tract 820, Kings County, NY",14000US36047082000
2016,2016,0,Total,41118,3825,"Census Tract 822, Kings County, NY",14000US36047082200
2016,2016,0,Total,43155,9998,"Census Tract 824, Kings County, NY",14000US36047082400
2016,2016,0,Total,44063,8767,"Census Tract 826, Kings County, NY",14000US36047082600
2016,2016,0,Total,49632,8303,"Census Tract 828, Kings County, NY",14000US36047082800
2016,2016,0,Total,50606,7681,"Census Tract 830, Kings County, NY",14000US36047083000
