UID,Borough,BreedName
220,Queens,Jack Russell Terrier
221,Brooklyn,American Pit Bull Mix / Pit Bull Mix
222,Manhattan,Boxer
223,Brooklyn,Labradoodle
224,Bronx,"Poodle, Toy"
225,Queens,Labrador Retriever
226,Bronx,Chihuahua
227,Bronx,Bulldog
228,Manhattan,Beagle
229,Manhattan,Shiba Inu
230,Manhattan,Unknown
231,Manhattan,Yorkshire Terrier
232,Manhattan,Pug
233,Manhattan,Havanese
234,Manhattan,"Dachshund, Long Haired Miniature"
235,Brooklyn,American Pit Bull Mix / Pit Bull Mix
236,Manhattan,Italian Greyhound
237,Brooklyn,Chinese Crested
238,Queens,"Schnauzer, Miniature"
239,Brooklyn,German Shepherd Crossbreed
240,Manhattan,Anatolian Shepherd Dog
241,Bronx,Maltese
242,Bronx,Maltese
243,Bronx,Tibetan Terrier
244,Manhattan,American Staffordshire Terrier 
245,Bronx,Unknown
246,Bronx,Chihuahua
247,Brooklyn,"Poodle, Standard"
248,Manhattan,"Bull Dog, French"
249,Manhattan,Poodle
250,Brooklyn,Labrador Retriever
251,Bronx,Maltese
252,Bronx,Maltese
253,Brooklyn,Labrador Retriever Crossbreed
254,Queens,Chihuahua
255,Queens,Chihuahua
256,Brooklyn,Unknown
257,Brooklyn,Maltese
258,Brooklyn,American Pit Bull Terrier/Pit Bull
259,Manhattan,Unknown
260,Brooklyn,Cocker Spaniel
261,Manhattan,Maltese
262,Brooklyn,Labrador Retriever
263,Bronx,Unknown
264,Brooklyn,Chihuahua
265,Queens,Manchester Terrier
266,Manhattan,Labradoodle
267,Brooklyn,Jack Russell Terrier
268,Brooklyn,Labrador Retriever
269,Staten Island,Labradoodle
270,Manhattan,Golden Retriever
271,Queens,Cocker Spaniel
272,Brooklyn,Cocker Spaniel
273,Manhattan,Maltese
274,Brooklyn,American Pit Bull Mix / Pit Bull Mix
275,Queens,Labrador Retriever Crossbreed
276,Brooklyn,Unknown
277,Brooklyn,Havanese
278,Manhattan,Havanese
279,Bronx,Shih Tzu
280,Brooklyn,Border Terrier
281,Brooklyn,Unknown
282,Queens,German Shepherd Crossbreed
283,Manhattan,American Pit Bull Mix / Pit Bull Mix
284,Brooklyn,Shih Tzu
285,Manhattan,Labrador Retriever
286,Manhattan,"Schnauzer, Miniature"
287,Brooklyn,Yorkshire Terrier
288,Brooklyn,Shih Tzu
289,Staten Island,Yorkshire Terrier
290,Manhattan,Vizsla
291,Manhattan,"Poodle, Miniature"
292,Queens,Border Collie
293,Manhattan,Boston Terrier
294,Bronx,American Staffordshire Terrier 
295,Manhattan,French Bulldog
296,Staten Island,Beagle Crossbreed
297,Brooklyn,Labrador Retriever
298,Bronx,Chihuahua
299,Manhattan,Beagle
300,Manhattan,Pointer
301,Staten Island,"Collie, Border"
302,Bronx,Unknown
303,Bronx,"Poodle, Toy"
304,Manhattan,"Bull Dog, French"
305,Brooklyn,Australian Cattledog
306,Staten Island,Collie Crossbreed
307,Manhattan,Unknown
308,Manhattan,Golden Retriever
309,Brooklyn,American Pit Bull Mix / Pit Bull Mix
310,Manhattan,Shiba Inu
311,Brooklyn,French Bulldog
312,Staten Island,Unknown
313,Manhattan,Havanese
314,Brooklyn,Unknown
315,Brooklyn,Chihuahua
