UID,Borough,Gender
291,Manhattan,F
292,Queens,F
293,Manhattan,F
294,Bronx,M
295,Manhattan,F
296,Staten Island,M
297,Brooklyn,F
298,Bronx,F
299,Manhattan,M
300,Manhattan,F
301,Staten Island,M
302,Bronx,F
303,Bronx,F
304,Manhattan,M
305,Brooklyn,M
306,Staten Island,F
307,Manhattan,M
308,Manhattan,M
309,Brooklyn,M
310,Manhattan,M
311,Brooklyn,M
312,Staten Island,M
313,Manhattan,F
314,Brooklyn,M
315,Brooklyn,M
316,Queens,F
317,Bronx,F
318,Manhattan,F
319,Manhattan,M
320,Queens,M
321,Bronx,M
322,Manhattan,M
323,Queens,F
324,Queens,F
325,Queens,M
326,Manhattan,M
327,Brooklyn,F
328,Brooklyn,M
329,Brooklyn,F
330,Manhattan,F
331,Queens,M
332,Manhattan,F
333,Queens,F
334,Manhattan,F
335,Manhattan,F
336,Brooklyn,F
337,Brooklyn,M
338,Brooklyn,M
339,Brooklyn,M
340,Brooklyn,F
341,Queens,F
342,Bronx,M
343,Manhattan,M
344,Manhattan,M
345,Queens,M
346,Manhattan,M
347,Manhattan,F
348,Manhattan,M
349,Manhattan,M
350,Manhattan,M
351,Manhattan,M
352,Manhattan,F
353,Bronx,F
354,Brooklyn,M
355,Manhattan,M
356,Manhattan,F
357,Brooklyn,F
358,Brooklyn,M
359,Brooklyn,M
360,Manhattan,M
361,Brooklyn,F
362,Brooklyn,M
363,Manhattan,F
364,Bronx,M
365,Brooklyn,M
366,Bronx,M
367,Manhattan,M
368,Queens,F
369,Staten Island,M
370,Manhattan,F
371,Queens,F
372,Staten Island,M
373,Manhattan,M
374,Manhattan,M
375,Manhattan,M
376,Brooklyn,M
377,Manhattan,M
378,Brooklyn,F
379,Queens,M
380,Staten Island,M
381,Manhattan,F
382,Staten Island,F
383,Manhattan,M
384,Staten Island,M
385,Queens,M
386,Queens,M
387,Queens,F
388,Bronx,F
389,Queens,F
390,Manhattan,M
391,Bronx,F
392,Brooklyn,F
393,Queens,M
394,Brooklyn,M
395,Manhattan,M
396,Manhattan,M
397,Brooklyn,M
398,Manhattan,M
399,Manhattan,F
400,Manhattan,M
401,Manhattan,F
402,Manhattan,M
403,Manhattan,M
404,Manhattan,M
405,Manhattan,F
406,Manhattan,F
407,Brooklyn,F
408,Bronx,M
409,Staten Island,M
410,Manhattan,M
411,Brooklyn,F
412,Brooklyn,F
413,Brooklyn,F
414,Brooklyn,M
415,Manhattan,F
416,Manhattan,M
417,Manhattan,F
418,Queens,F
419,Queens,F
420,Brooklyn,F
421,Queens,M
422,Manhattan,M
423,Bronx,M
424,Manhattan,M
425,Manhattan,F
426,Manhattan,F
427,Manhattan,M
428,Brooklyn,M
429,Brooklyn,M
430,Brooklyn,M
431,Queens,M
432,Manhattan,F
433,Queens,M
434,Manhattan,M
435,Brooklyn,F
436,Manhattan,F
437,Brooklyn,M
438,Queens,M
439,Brooklyn,F
440,Brooklyn,M
441,Brooklyn,M
442,Staten Island,M
443,Manhattan,M
444,Staten Island,F
445,Manhattan,F
446,Bronx,M
447,Manhattan,F
448,Brooklyn,M
449,Brooklyn,F
450,Staten Island,F
451,Brooklyn,F
452,Brooklyn,M
453,Queens,F
454,Brooklyn,F
455,Brooklyn,F
456,Brooklyn,M
457,Manhattan,M
458,Queens,M
459,Manhattan,M
460,Manhattan,F
461,Manhattan,F
462,Brooklyn,F
463,Queens,F
464,Manhattan,F
465,Manhattan,M
466,Brooklyn,M
467,Manhattan,M
468,Manhattan,F
469,Queens,M
470,Brooklyn,F
471,Manhattan,M
472,Manhattan,F
473,Queens,M
474,Brooklyn,M
475,Manhattan,M
476,Manhattan,F
477,Manhattan,F
478,Brooklyn,M
479,Brooklyn,F
480,Manhattan,M
481,Manhattan,M
482,Brooklyn,M
483,Brooklyn,M
484,Bronx,F
485,Brooklyn,F
486,Queens,M
487,Manhattan,F
488,Manhattan,F
489,Manhattan,F
490,Manhattan,M
491,Queens,M
492,Manhattan,F
493,Bronx,F
494,Queens,F
495,Queens,F
496,Queens,F
497,Manhattan,M
498,Queens,M
499,Queens,F
500,Brooklyn,M
501,Manhattan,M
502,Brooklyn,M
503,Queens,F
504,Manhattan,F
505,Manhattan,F
506,Manhattan,F
507,Manhattan,M
508,Manhattan,F
509,Manhattan,M
510,Manhattan,F
511,Manhattan,M
512,Manhattan,F
513,Manhattan,M
514,Manhattan,F
515,Manhattan,F
516,Staten Island,M
517,Bronx,M
518,Brooklyn,M
519,Bronx,M
520,Manhattan,F
521,Manhattan,M
522,Manhattan,M
523,Manhattan,M
524,Brooklyn,M
525,Manhattan,M
526,Brooklyn,M
527,Brooklyn,M
528,Manhattan,M
529,Queens,M
530,Manhattan,M
531,Manhattan,M
532,Brooklyn,F
533,Bronx,F
534,Manhattan,M
535,Brooklyn,F
536,Brooklyn,M
537,Brooklyn,M
538,Queens,M
539,Manhattan,M
540,Manhattan,M
541,Queens,M
542,Brooklyn,F
543,Queens,F
544,Manhattan,M
545,Manhattan,F
546,Brooklyn,M
547,Manhattan,M
548,Queens,F
549,Manhattan,M
550,Queens,M
551,Manhattan,M
552,Manhattan,M
553,Manhattan,M
554,Manhattan,F
555,Manhattan,F
556,Manhattan,M
557,Manhattan,M
558,Brooklyn,F
559,Manhattan,F
560,Brooklyn,F
561,Manhattan,F
562,Staten Island,F
563,Brooklyn,M
564,Staten Island,M
565,Staten Island,F
566,Queens,F
567,Queens,M
568,Queens,M
569,Staten Island,F
570,Brooklyn,M
571,Staten Island,F
572,Manhattan,F
573,Manhattan,F
574,Manhattan,M
575,Manhattan,F
576,Manhattan,M
577,Brooklyn,F
578,Manhattan,M
579,Manhattan,F
580,Manhattan,M
581,Manhattan,F
582,Manhattan,M
583,Manhattan,M
584,Bronx,F
585,Queens,M
586,Queens,M
587,Manhattan,F
588,Brooklyn,F
589,Bronx,M
590,Manhattan,F
591,Queens,M
592,Queens,M
593,Bronx,F
594,Brooklyn,M
595,Manhattan,F
596,Brooklyn,F
597,Manhattan,F
598,Queens,M
599,Brooklyn,F
600,Brooklyn,M
601,Manhattan,F
602,Manhattan,M
603,Manhattan,M
604,Queens,M
605,Manhattan,F
606,Queens,M
607,Manhattan,F
608,Brooklyn,F
609,Brooklyn,M
610,Bronx,F
611,Manhattan,M
612,Brooklyn,M
613,Manhattan,M
614,Brooklyn,M
615,Queens,F
616,Brooklyn,F
617,Queens,M
618,Brooklyn,M
619,Brooklyn,M
620,Queens,M
621,Manhattan,M
622,Bronx,F
623,Brooklyn,M
624,Brooklyn,M
625,Queens,M
626,Brooklyn,M
627,Queens,M
628,Brooklyn,M
629,Manhattan,M
630,Brooklyn,F
631,Manhattan,M
632,Brooklyn,M
633,Brooklyn,M
634,Queens,M
635,Brooklyn,M
636,Manhattan,M
637,Manhattan,M
638,Brooklyn,F
639,Brooklyn,M
640,Brooklyn,F
641,Manhattan,M
642,Manhattan,F
643,Manhattan,M
644,Manhattan,F
645,Manhattan,F
646,Manhattan,F
647,Manhattan,M
648,Brooklyn,M
649,Brooklyn,M
650,Manhattan,M
651,Manhattan,F
652,Manhattan,F
653,Brooklyn,F
654,Staten Island,M
655,Staten Island,M
656,Manhattan,M
657,Queens,M
658,Manhattan,F
659,Manhattan,M
660,Manhattan,M
661,Queens,M
662,Queens,F
663,Brooklyn,M
664,Queens,M
665,Brooklyn,M
666,Bronx,M
667,Queens,M
668,Bronx,F
669,Manhattan,F
670,Manhattan,F
671,Manhattan,M
672,Brooklyn,F
673,Manhattan,M
674,Manhattan,F
675,Queens,M
676,Brooklyn,F
677,Queens,M
678,Manhattan,F
679,Manhattan,M
680,Bronx,M
681,Manhattan,M
682,Queens,F
683,Brooklyn,M
684,Brooklyn,F
685,Queens,F
686,Brooklyn,F
687,Brooklyn,F
688,Manhattan,M
689,Brooklyn,M
690,Manhattan,M
691,Brooklyn,F
692,Manhattan,M
693,Manhattan,M
694,Brooklyn,M
695,Manhattan,F
696,Manhattan,F
697,Manhattan,M
698,Manhattan,M
699,Manhattan,F
700,Manhattan,F
701,Brooklyn,M
702,Brooklyn,M
703,Manhattan,M
704,Manhattan,F
705,Manhattan,M
706,Manhattan,F
707,Queens,F
708,Brooklyn,F
709,Manhattan,F
710,Brooklyn,F
711,Queens,M
712,Manhattan,M
713,Manhattan,M
714,Brooklyn,M
715,Staten Island,M
716,Manhattan,M
717,Bronx,M
718,Manhattan,F
719,Manhattan,M
720,Manhattan,F
721,Brooklyn,F
722,Manhattan,M
723,Brooklyn,M
724,Brooklyn,F
725,Bronx,M
726,Manhattan,M
727,Manhattan,M
728,Queens,F
729,Queens,M
730,Brooklyn,M
731,Manhattan,F
732,Brooklyn,M
733,Bronx,F
734,Queens,F
735,Brooklyn,F
736,Manhattan,M
737,Brooklyn,M
738,Brooklyn,F
739,Brooklyn,F
740,Manhattan,F
741,Bronx,F
742,Brooklyn,M
743,Queens,M
744,Manhattan,F
745,Manhattan,M
746,Staten Island,F
747,Brooklyn,M
748,Queens,M
749,Staten Island,M
750,Queens,F
751,Queens,M
752,Bronx,F
753,Manhattan,F
754,Bronx,F
755,Queens,F
756,Manhattan,F
757,Manhattan,F
758,Queens,F
759,Bronx,M
760,Staten Island,M
761,Manhattan,F
762,Queens,M
763,Queens,F
764,Queens,M
765,Queens,M
766,Manhattan,F
767,Brooklyn,F
768,Brooklyn,F
769,Brooklyn,M
770,Queens,F
771,Queens,M
772,Brooklyn,M
773,Manhattan,M
774,Queens,F
775,Manhattan,M
776,Queens,M
777,Manhattan,F
778,Brooklyn,M
779,Staten Island,F
780,Brooklyn,F
781,Manhattan,M
782,Brooklyn,F
783,Queens,F
784,Queens,F
785,Queens,M
786,Manhattan,M
787,Bronx,M
788,Queens,F
789,Brooklyn,F
790,Brooklyn,F
791,Manhattan,M
792,Manhattan,M
793,Brooklyn,F
794,Brooklyn,F
795,Brooklyn,M
796,Staten Island,F
797,Manhattan,F
798,Manhattan,F
799,Brooklyn,M
800,Manhattan,F
801,Manhattan,M
802,Manhattan,F
803,Queens,M
804,Manhattan,M
805,Queens,M
806,Manhattan,M
807,Queens,M
808,Staten Island,M
809,Manhattan,F
810,Brooklyn,F
811,Brooklyn,M
