UID,Borough,Name
242,Bronx,PHILLIP 
243,Bronx,SPARKY
244,Manhattan,SMOKEY
245,Bronx,SNOOPY
246,Bronx,GRAISY
247,Brooklyn,GIGI
248,Manhattan,BUTTERFLY 
249,Manhattan,CAMPBELL
250,Brooklyn,CURTIS 
251,Bronx,KATE 
252,Bronx,WILLIAM 
253,Brooklyn,PENNY
254,Queens,ANDY
255,Queens,LISSY
256,Brooklyn,MAX
257,Brooklyn,COCO 
258,Brooklyn,TESLA
259,Manhattan,GUNTHER
260,Brooklyn,BELLE
261,Manhattan,COCO 
262,Brooklyn,JETT
263,Bronx,JOCKI
264,Brooklyn,MINNIE
265,Queens,SASHA
266,Manhattan,ROSIE 
267,Brooklyn,AUGUSTA
268,Brooklyn,COOPER
269,Staten Island,ZOEY
270,Manhattan,NINA
271,Queens,BRUTUS
272,Brooklyn,ANDY
273,Manhattan,PATCH
274,Brooklyn,SOLO
275,Queens,BRANDO
276,Brooklyn,WOODY
277,Brooklyn,ZOE 
278,Manhattan,ROXY
279,Bronx,CHAUNCEY 
280,Brooklyn,CHANCE
281,Brooklyn,MICA 
282,Queens,JELLY
283,Manhattan,RIGGINS
284,Brooklyn,TYLER 
285,Manhattan,MAGGIE 
286,Manhattan,HANNAH
287,Brooklyn,MIA 
288,Brooklyn,CHASE 
289,Staten Island,LEXY
290,Manhattan,DAKOTA
291,Manhattan,DAISY
292,Queens,STELLA
293,Manhattan,FIONA
294,Bronx,APOLLO
295,Manhattan,EVEYLYN 
296,Staten Island,PARKER
297,Brooklyn,STORM
298,Bronx,NENA
299,Manhattan,LEOPOLD
300,Manhattan,PIPER
301,Staten Island,RASCAL
302,Bronx,JADE
303,Bronx,IVORY
304,Manhattan,CHUNK
305,Brooklyn,JULIUS 
306,Staten Island,SHADOW
307,Manhattan,RUMI 
308,Manhattan,HENDRIX
309,Brooklyn,TED 
310,Manhattan,BEAR
311,Brooklyn,BAMBA
312,Staten Island,ALI
313,Manhattan,OREO 
314,Brooklyn,SPEEDY
315,Brooklyn,GRAYSON 
316,Queens,ABBEY
317,Bronx,ANGEL 
318,Manhattan,LOLA
319,Manhattan,LAWRENCE
320,Queens,DEMO
321,Bronx,ZIGGY 
322,Manhattan,WEEZY
323,Queens,EMMA 
324,Queens,PRINCESS 
325,Queens,BO
326,Manhattan,MASON
327,Brooklyn,CHOCOLATE
328,Brooklyn,SCOOBIE 
