Tract,AvgHI2014,AvgHI2015,AvgHi2016,AverageHI
97,64078.00,64274.33,64278.33,64210.22
98,64684.25,65461.00,66477.00,65540.75
99,127152.00,128906.00,130266.00,128774.67
100,66919.67,70674.33,67542.33,68378.78
101,80790.33,88297.67,88573.67,85887.22
102,67482.33,47775.00,88400.67,70399.88
103,69939.00,77711.00,74593.00,74081.00
104,68376.00,68989.33,73996.67,70454.00
105,57566.50,54494.50,57404.50,56488.50
106,43493.50,46578.00,48321.00,46130.83
106.01,126933.00,125488.00,123304.00,125241.67
106.02,117885.00,120053.00,123320.00,120419.33
108,62153.33,67925.33,69991.67,66690.11
109,132500.00,135750.00,,134125.00
110,60423.50,71544.00,76757.67,68659.90
111,81457.50,83414.00,91147.50,85339.67
112,40084.50,38258.00,36903.50,38415.33
112.01,150578.50,111081.50,104419.00,122026.33
112.02,119447.50,133910.50,131757.00,128371.67
112.03,117059.00,128083.00,116250.00,120464.00
113,70428.50,71382.50,76549.50,72786.83
114,47746.00,40576.00,41529.00,43283.67
114.01,107992.50,113151.00,106697.50,109280.33
114.02,107859.50,112919.00,116255.00,112344.50
115,67969.00,75130.00,79812.00,74303.67
115.02,21311.00,21765.00,22321.00,21799.00
116,54087.33,54514.67,56111.00,54904.33
117,66726.00,67648.25,71991.75,68788.67
118,67081.00,73309.25,75797.00,72062.42
119,43849.25,43139.00,43749.25,43579.17
120,83635.33,75218.67,86111.33,81655.11
121,77544.00,81383.00,81845.25,80257.42
121.01,31058.00,27813.00,29294.00,29388.33
121.02,17800.00,20028.00,18692.00,18840.00
122,85656.75,87888.75,85590.00,86378.50
123,20671.00,21300.00,24474.00,22148.33
123.01,65260.00,84026.00,82174.00,77153.33
124,89008.50,87243.00,84319.50,86857.00
125,76268.25,79194.50,75478.25,76980.33
126,69050.00,74896.50,78945.50,74297.33
126.01,59397.00,60481.00,63719.00,61199.00
126.02,57634.00,58594.00,64125.00,60117.67
127,56578.00,60487.50,63113.50,60059.67
127.01,19922.00,18641.00,18777.00,19113.33
128,115074.50,119203.50,111253.00,115177.00
128.01,44583.00,42596.00,50625.00,45934.67
128.04,59659.00,61406.00,68015.00,63026.67
128.05,71375.00,73878.00,71375.00,72209.33
128.06,69393.00,70505.00,53376.00,64424.67
129,106625.00,111290.00,110592.00,109502.33
129.01,47699.00,50170.00,56193.00,51354.00
129.02,87321.00,86290.00,105625.00,93078.67
130,102282.00,111723.75,98037.00,104014.25
131,73918.33,74138.67,82272.00,76776.33
132,72242.25,73790.25,78619.00,74883.83
132.01,92083.00,103889.00,104444.00,100138.67
132.03,77212.00,84596.00,82443.00,81417.00
132.04,92083.00,86429.00,84866.00,87792.67
133,80877.67,83849.67,80018.33,81581.89
133.01,15285.00,14030.00,13818.00,14377.67
133.02,55052.00,44861.00,37813.00,45908.67
134,76184.75,74601.50,76488.00,75758.08
135,64687.75,66952.00,67740.25,66460.00
136,78119.33,80148.33,78026.67,78764.78
137,96452.33,100946.00,101429.00,99609.11
138,79370.60,78857.00,76994.40,78407.33
139,85689.50,96369.50,103679.00,95246.00
140,86504.67,87961.33,85580.67,86682.22
141,59668.75,56421.25,60481.50,58857.17
142,137279.00,145889.50,148125.50,143764.67
142.01,58438.00,56780.00,58380.00,57866.00
142.02,63472.00,62656.00,71413.00,65847.00
143,45773.00,49742.00,57901.67,51138.89
144,33137.50,37379.50,36913.00,35810.00
144.01,118125.00,101750.00,105469.00,108448.00
144.02,109934.00,117656.00,123438.00,117009.33
145,76204.50,75820.00,75091.75,75705.42
146.01,114792.00,120257.00,115288.00,116779.00
146.02,93420.00,97632.00,91905.00,94319.00
146.04,82057.00,80705.00,72969.00,78577.00
146.05,84500.00,91129.00,103565.00,93064.67
146.06,102209.00,96833.00,101082.00,100041.33
146.07,87686.00,81883.00,82551.00,84040.00
146.08,87202.00,91270.00,93385.00,90619.00
147,84109.00,91880.00,102662.00,92883.67
147.01,17300.00,14334.00,16170.00,15934.67
147.02,17509.00,17782.00,18276.00,17855.67
148,60845.50,57201.00,58902.00,58982.83
148.01,149875.00,167667.00,162857.00,160133.00
148.02,112237.00,109493.00,125714.00,115814.67
149,90459.50,87129.25,88957.75,88848.83
150,80056.50,78206.00,72899.50,77054.00
150.01,155536.00,151625.00,142679.00,149946.67
150.02,160379.00,156500.00,162984.00,159954.33
151,71129.80,73381.00,73027.00,72512.60
152,63965.75,70570.50,72794.25,69110.17
153,75578.50,81464.25,93858.25,83633.67
154,73133.50,66949.00,69638.00,69906.83
155,80134.50,82543.75,80700.50,81126.25
156,50068.00,50391.00,58561.00,53006.67
156.01,87473.00,93294.50,94290.50,91686.00
156.02,68907.00,67259.00,74818.50,70328.17
156.03,94145.00,90604.00,90925.00,91891.33
157,77226.50,76412.75,81435.75,78358.33
158,55833.00,77045.00,67115.00,66664.33
158.01,100840.00,100164.00,103893.50,101632.50
158.02,72241.00,83153.00,82664.00,79352.67
159,77418.00,77135.00,74390.25,76314.42
160,74758.00,68957.00,70186.00,71300.33
160.01,182917.00,222222.00,233529.00,212889.33
160.02,106471.00,87167.00,87750.00,93796.00
161,74343.75,73107.75,75758.00,74403.17
