Tract,AvgHI2014,AvgHI2015,AvgHi2016,AverageHI
394,45388.33,47675.33,47932.67,46998.78
395,24685.50,26786.00,33557.50,28343.00
396,35337.00,41073.50,42089.00,39499.83
397,27052.50,29747.00,28968.00,28589.17
398,61187.00,61882.67,62284.67,61784.78
399,39998.50,38962.50,43428.50,40796.50
399.01,24936.00,22747.00,25903.00,24528.67
399.02,24852.00,24799.00,33229.00,27626.67
400,52064.00,57637.50,61994.00,57231.83
401,41688.00,41089.33,38917.00,40564.78
402,61341.50,61803.50,69987.00,64377.33
403,37670.50,37007.50,35666.50,36781.50
403.02,22318.00,25724.00,27156.00,25066.00
403.03,37045.00,40731.00,40838.00,39538.00
403.04,36481.00,34643.00,30923.00,34015.67
404,39690.00,43351.67,54054.00,45698.56
405,47541.50,41686.00,49040.00,46089.17
405.01,29647.00,34009.00,35436.00,33030.67
405.02,22626.00,23583.00,23142.00,23117.00
406,37226.00,44440.00,42456.50,41374.17
407,36807.00,43355.00,44306.00,41489.33
407.01,31045.00,30354.00,36607.00,32668.67
407.02,27951.00,29978.00,29946.00,29291.67
408,37969.50,45650.00,45318.00,42979.17
409,43897.67,44652.67,46975.00,45175.11
410,47424.00,43750.00,41786.00,44320.00
411,37864.00,41187.67,43602.67,40884.78
412,47371.00,41944.00,52083.00,47132.67
413,42990.67,42832.00,42525.00,42782.56
414,48481.00,47216.00,50313.00,48670.00
414.01,48750.00,52774.00,58750.00,53424.67
414.02,31063.00,28884.00,38375.00,32774.00
415,41654.67,45492.00,48195.00,45113.89
416,44679.00,44260.00,44426.00,44455.00
417,27552.00,22022.00,27705.00,25759.67
418,31581.00,35442.50,35766.50,34263.33
419,37453.00,40502.00,38429.50,38794.83
420,37335.00,35547.00,42437.50,38439.83
421,36047.50,35565.00,35374.00,35662.17
422,56453.00,60041.50,58901.00,58465.17
423,42899.50,41434.50,40233.50,41522.50
424,57673.00,61220.33,60160.00,59684.44
425,38850.50,37142.50,39444.50,38479.17
426,53564.00,51047.00,51734.50,52115.17
427,45266.00,45043.00,46640.00,45649.67
428,55513.00,57602.50,60251.00,57788.83
429,44894.00,45382.00,44493.00,44923.00
429.01,37317.00,39625.00,41394.00,39445.33
429.02,26823.00,27553.00,27159.00,27178.33
430,46085.00,43412.50,53496.50,47664.67
431,34306.00,36648.50,39543.50,36832.67
432,67838.00,68662.00,64896.50,67132.17
433,32883.00,37882.00,37632.00,36132.33
434,58042.67,59758.67,59899.00,59233.44
435,31203.50,41904.00,40368.00,37316.60
436,49924.50,58895.50,56685.50,55168.50
437,43316.00,42500.00,44058.00,43291.33
437.01,47333.00,50817.00,59550.00,52566.67
437.02,37411.00,37904.00,38914.00,38076.33
438,38542.00,40227.00,46250.00,41673.00
439,39383.50,40771.50,45414.50,41856.50
440,50601.50,49982.00,55490.50,52024.67
441,45049.00,49167.00,52676.00,48964.00
442,42315.00,47984.50,53214.00,47837.83
443,52222.00,56657.00,58412.00,55763.67
443.01,20958.00,20273.00,22829.00,21353.33
443.02,54057.00,54569.00,52218.00,53614.67
444,44316.67,49892.33,49368.33,47859.11
445,42198.00,42894.00,47255.00,44115.67
446,58977.00,47031.00,50844.00,52284.00
446.01,39632.00,36553.00,34306.00,36830.33
446.02,39728.00,42384.00,41322.00,41144.67
447,51333.00,50114.00,50236.00,50561.00
448,61128.00,60574.33,68279.67,63327.33
449,39375.00,33831.00,28750.00,33985.33
449.01,67537.00,67083.00,69231.00,67950.33
449.02,54844.00,62656.00,66125.00,61208.33
450,64969.00,46021.00,57113.50,56034.50
451.01,59788.00,62286.00,65781.00,62618.33
451.02,75673.00,80139.00,84018.00,79943.33
452,53797.50,53872.00,62434.00,56701.17
453,51100.00,55536.00,62632.00,56422.67
454,50317.00,50323.00,50360.50,50333.50
455,48070.00,46275.00,47620.00,47321.67
456,57838.67,57196.33,64432.33,59822.44
457,63750.00,60583.00,53313.00,59215.33
458,48685.33,43470.33,52318.67,48158.11
459,59074.00,56806.00,56333.00,57404.33
460,38506.33,35463.67,35456.00,36475.33
461,48060.00,44757.00,47404.00,46740.33
462,40637.00,47524.00,45192.00,44451.00
462.01,41334.50,39985.00,39497.00,40272.17
462.02,45342.00,48657.50,43323.00,45774.17
463,41339.00,42720.00,43456.00,42505.00
464,69784.50,69569.50,66494.50,68616.17
465,41615.00,42344.00,32391.00,38783.33
466,52059.00,52477.00,60170.00,54902.00
467,39138.00,34214.00,31487.00,34946.33
468,34608.00,38076.00,44969.00,39217.67
469,45157.00,45048.00,40382.00,43529.00
470,49781.00,50052.50,52840.50,50891.33
471,41625.00,46855.00,48803.00,45761.00
472,62479.00,58375.50,58560.00,59804.83
473,54554.00,52500.00,53462.00,53505.33
474,57895.00,52125.00,52599.00,54206.33
475,51905.00,54130.00,49438.00,51824.33
476,77723.00,66169.00,55284.00,66392.00
477,81659.00,86932.00,87596.00,85395.67
478,50086.00,55928.50,54594.00,53536.17
479,57651.00,46956.00,46121.00,50242.67
480,51252.00,45683.00,45729.00,47554.67
481,55484.50,54185.50,52837.00,54169.00
482,56739.00,57662.50,65400.50,59934.00
483,49634.00,43019.00,50509.00,47720.67
484,54213.00,57203.00,57104.67,56173.56
485,69039.00,69559.00,77973.50,72190.50
486,33833.00,44489.00,45045.00,41122.33
488,45108.00,52000.00,52266.00,49791.33
489,41197.00,42571.50,40514.50,41427.67
490,34306.00,35642.00,52319.00,40755.67
491,33739.00,32813.00,32490.00,33014.00
492,47402.50,50289.00,51141.00,49610.83
493,32508.00,30613.00,31270.00,31463.67
493.01,58304.00,60426.00,49750.00,56160.00
493.02,57188.00,60268.00,62188.00,59881.33
494,47441.00,47397.00,53000.00,49279.33
495,63961.00,67253.50,74235.00,68483.17
496,67347.50,65245.00,69114.00,67235.50
497,61328.00,62675.50,65266.00,63089.83
498,51795.00,67907.00,71538.00,63746.67
499,66184.00,63922.00,62556.50,64220.83
500,57058.50,59178.50,59793.50,58676.83
501,73155.00,73919.00,79219.00,75431.00
502.01,78000.00,74813.00,73500.00,75437.67
502.02,79344.00,67349.50,76079.50,74257.67
503,67610.00,69712.00,79453.00,72258.33
504,60085.00,75662.50,66634.00,66406.86
505,45804.00,46420.50,47259.00,46494.50
506,59288.50,65229.00,65520.00,63345.83
507,54069.00,53245.00,51657.50,52990.50
508,59196.00,66250.00,69423.00,64956.33
508.01,42024.00,40417.00,45455.00,42632.00
508.03,41585.00,38807.00,41463.00,40618.33
508.04,50200.00,50440.00,50265.00,50301.67
509,30625.00,32762.00,31650.00,31679.00
510,88750.00,115069.00,81196.00,95005.00
510.01,44538.00,44332.00,49896.00,46255.33
510.02,43702.00,45982.00,50484.00,46722.67
511,50059.50,50692.00,55910.50,52220.67
512,57033.50,52643.00,61340.00,57005.50
513,62049.50,61116.00,63827.50,62331.00
514,45712.00,45685.00,45453.00,45616.67
515,76755.00,82853.00,93516.50,84374.83
516,68259.00,65695.50,70019.50,67991.33
516.01,31062.00,34241.00,42220.00,35841.00
516.02,38802.00,38813.00,49321.00,42312.00
517,74232.00,80113.00,77014.50,77119.83
518,73815.00,75626.50,69674.00,73038.50
519,84739.00,87087.00,92174.00,88000.00
520,77399.00,74877.50,70952.00,74409.50
521,51853.00,60260.00,62222.00,58111.67
522,71667.00,81923.00,76429.00,76673.00
523,45000.00,43076.00,42325.00,43467.00
524,67768.00,75393.00,72546.00,71902.33
525,37386.00,39403.00,46800.50,41196.50
526,69292.00,60444.00,61796.50,63844.17
527,27829.00,32022.00,38968.00,32939.67
528,70281.50,72784.00,78340.50,73802.00
529,31685.00,31962.00,31493.00,31713.33
530,46636.50,50928.00,52604.50,50056.33
531,39023.00,37775.00,45526.00,40774.67
532,73065.00,68172.50,75307.00,72181.50
533,21633.00,20931.00,21796.00,21453.33
534,23832.00,31004.00,25833.00,26889.67
534.01,69318.00,65583.00,61591.00,65497.33
535,40220.50,35397.00,39193.00,38270.17
536.01,69625.00,65750.00,65000.00,66791.67
537,23207.00,26346.00,28550.00,26034.33
538,44267.50,51018.00,58090.50,51125.33
539,37558.00,40217.50,37877.50,38551.00
540,46071.00,48040.00,49825.00,47978.67
542,60395.00,55133.00,63750.50,59759.50
543,81583.00,92500.00,119250.00,97777.67
544,58145.00,44453.00,45333.00,49310.33
545,32669.00,34426.00,35404.00,34166.33
546,36731.00,31868.00,37625.00,35408.00
547,46831.00,46619.00,48101.50,47183.83
548,71253.00,65828.00,61205.50,66095.50
549,50904.00,54420.00,70342.50,58555.50
550,43975.00,42993.00,56023.00,47663.67
551,51138.50,54396.00,67613.00,57715.83
552,52193.00,47383.50,45559.00,48378.50
553,57874.00,63844.50,71400.00,64372.83
554,60264.50,57686.00,58529.00,58826.50
555,76830.00,77179.50,88010.50,80673.33
556,62763.50,61025.50,64166.50,62651.83
557,64142.00,67184.50,67889.50,66405.33
558,69489.50,67416.50,62872.50,66592.83
559,59868.00,60625.00,59276.00,59923.00
560,52908.50,53162.00,59523.00,55197.83
561,95444.50,96094.00,98410.50,96649.67
562,65099.50,77604.00,75705.50,72803.00
563,53807.00,66591.00,66310.00,62236.00
564,57619.00,62121.50,63409.00,61049.83
565,63497.00,64669.00,76993.00,68386.33
566,68844.00,66433.00,57557.00,64278.00
567,65313.00,80838.00,84228.00,76793.00
568,80052.50,72220.50,74781.50,75684.83
569,71603.00,71111.00,81375.00,74696.33
570,62653.00,57200.00,61369.00,60407.33
571,60750.00,58553.00,57269.00,58857.33
572,19933.00,18459.00,18774.00,19055.33
573,60781.00,70878.00,76875.00,69511.33
574,90263.00,83295.00,90938.00,88165.33
575,63026.00,79476.00,74193.00,72231.67
576,63980.00,68950.00,67232.00,66720.67
577,65373.00,66983.00,60372.00,64242.67
578,40577.00,37953.00,40962.00,39830.67
579,46611.50,55021.00,57708.00,53113.50
580,58547.50,58451.00,59865.50,58954.67
581,55000.00,52560.00,55040.00,54200.00
582,61322.00,63458.50,65385.50,63388.67
583,54467.00,54688.00,75847.00,61667.33
584,55786.00,58975.00,56343.00,57034.67
585,55000.00,52917.00,60588.00,56168.33
586,53636.00,56797.00,60781.00,57071.33
587,47019.00,47331.00,55481.00,49943.67
588,67833.00,61964.00,68438.00,66078.33
589,64312.50,60231.50,61095.50,61879.83
590,59906.50,59407.00,61952.00,60421.83
591,58178.50,66732.00,75048.50,66653.00
592,57658.50,71305.50,76701.00,68555.00
593,57407.00,62831.00,61438.00,60558.67
594,100132.00,89500.00,85714.00,91782.00
594.01,47593.00,42067.00,51007.00,46889.00
594.02,68750.00,68429.00,69926.00,69035.00
595,57426.00,52159.00,59038.00,56207.67
596,79767.00,68002.50,71458.50,73076.00
598,69693.50,73317.00,79044.50,74018.33
599,54635.00,57697.00,47898.00,53410.00
600,56966.50,69776.50,71315.00,66019.33
601,67898.00,67330.00,65350.00,66859.33
603,67981.00,75313.00,84886.00,76060.00
606,54494.00,56605.50,63575.00,58224.83
608,69479.00,67517.00,56530.00,64508.67
610,74417.00,71766.00,76818.00,74333.67
610.02,61080.00,68750.00,63854.00,64561.33
610.03,46217.00,45202.00,42279.00,44566.00
610.04,21220.00,23583.00,23185.00,22662.67
612,89406.50,83916.50,91727.50,88350.17
613.01,51103.00,52153.00,71316.00,58190.67
614,100391.00,101473.00,89219.00,97027.67
616,89063.00,103000.00,70667.00,87576.67
616.01,108464.00,97679.00,88654.00,98265.67
616.02,83281.00,89063.00,94750.00,89031.33
618,67462.00,60938.00,59889.00,62763.00
619,69663.00,69004.00,82069.00,73578.67
620,92765.00,97733.50,105123.50,98540.67
621,55976.00,56154.00,58625.00,56918.33
622,62009.50,65083.00,70176.50,65756.33
623,54891.00,68207.00,74375.00,65824.33
625,66858.00,62263.00,66750.00,65290.33
626,64514.00,65871.50,60824.50,63736.67
627,63667.00,66380.00,68664.00,66237.00
628,65313.00,70260.00,71265.00,68946.00
629,58409.00,60156.00,61667.00,60077.33
630,79674.00,80417.00,82083.00,80724.67
632,71328.50,72153.00,84271.00,75917.50
633.01,67125.00,62604.00,77794.00,69174.33
633.02,67431.00,66983.00,71442.00,68618.67
635,62000.00,70750.00,54934.00,62561.33
636,91136.00,93214.00,94063.00,92804.33
637,83563.00,84738.00,94389.00,87563.33
638,81936.50,86758.50,93862.50,87519.17
639,67232.00,68472.00,73548.00,69750.67
640,90833.00,97241.00,112765.00,100279.67
641.01,52230.00,55329.00,57578.00,55045.67
641.02,20250.00,,,20250.00
642,60863.00,59732.00,60682.00,60425.67
644,90714.00,83125.00,86979.00,86939.33
645,83636.00,80132.00,80192.00,81320.00
646,85838.00,86871.50,89527.50,87412.33
648,62232.00,63393.00,72143.00,65922.67
650,72257.00,65485.50,66175.00,67972.50
652,97000.00,95368.00,86250.00,92872.67
654,85158.50,86807.00,91301.00,87755.50
656,79586.00,72703.00,79171.50,77153.50
657.02,64750.00,61905.00,70150.00,65601.67
657.03,73125.00,72313.00,67039.00,70825.67
658,75417.00,81932.00,78882.00,78743.67
659,92750.00,90227.00,83000.00,88659.00
660,89997.00,90807.00,96278.00,92360.67
661,76542.00,75313.00,78319.00,76724.67
662,85066.00,80893.00,76016.00,80658.33
663,81875.00,95854.00,97404.00,91711.00
664,84450.00,88162.00,83885.00,85499.00
665.01,71547.00,80455.00,83839.00,78613.67
667.01,61944.00,52917.00,55571.00,56810.67
669,82750.00,74259.00,74798.00,77269.00
670,62045.00,60857.00,76250.00,66384.00
671,64808.00,83854.00,96250.00,81637.33
672,61840.00,63571.00,68090.00,64500.33
674,72143.00,81964.00,71652.00,75253.00
676,70708.00,75972.00,82872.00,76517.33
677,88235.00,87802.00,85625.00,87220.67
678,79673.00,81847.00,85234.00,82251.33
679,47391.00,44861.00,49495.00,47249.00
680,73189.00,81354.00,79805.00,78116.00
682,82412.00,78437.50,88972.50,83274.00
683,60317.00,63021.00,60538.00,61292.00
686,48542.00,51800.00,51694.00,50678.67
687,56121.00,57452.00,57449.00,57007.33
688,86563.00,81750.00,88125.00,85479.33
690,76172.00,79884.00,77069.50,77708.50
692,83261.00,84674.00,101250.00,89728.33
693,45785.00,42389.00,41392.00,43188.67
694,81724.00,80598.00,79183.00,80501.67
695,49107.00,54309.00,53777.00,52397.67
696.01,48971.00,53047.00,55762.00,52593.33
696.02,93281.00,89375.00,86362.00,89672.67
697.01,50525.00,55023.00,60833.00,55460.33
697.02,61855.00,77729.00,77614.00,72399.33
698,67391.00,73681.00,77500.00,72857.33
700,58971.00,66250.00,55380.00,60200.33
702.01,52083.00,59655.00,72750.00,61496.00
703,64737.00,56818.00,55833.00,59129.33
706,85069.00,85515.00,88837.00,86473.67
707,91071.00,81042.00,97888.00,90000.33
709,99531.00,97039.00,82125.00,92898.33
711,57592.00,59632.00,64005.00,60409.67
713.03,73896.00,79447.00,81975.00,78439.33
713.04,54226.00,52914.00,52987.00,53375.67
713.05,77940.00,71250.00,70216.00,73135.33
713.06,60335.00,65837.00,66793.00,64321.67
717.01,51016.00,65250.00,64583.00,60283.00
717.02,38627.00,40000.00,43088.00,40571.67
719,54563.00,51658.00,48902.00,51707.67
720,64286.00,63000.00,64659.00,63981.67
721,49699.00,47460.00,50425.00,49194.67
722,60333.00,61286.00,65305.00,62308.00
723,120938.00,124643.00,123229.00,122936.67
724,81818.00,76071.00,76500.00,78129.67
726,79183.00,82961.00,82024.00,81389.33
728,51991.00,67102.00,61481.00,60191.33
729,90580.00,86719.00,95500.00,90933.00
730,84583.00,93462.00,89219.00,89088.00
731,110417.00,110500.00,109615.00,110177.33
732,71016.00,74018.00,73580.00,72871.33
734,76971.00,84167.00,83542.00,81560.00
736,42264.00,60051.00,60353.00,54222.67
737,73051.00,72222.00,62240.00,69171.00
738,60859.00,55714.00,53571.00,56714.67
739,75828.00,74435.00,76550.00,75604.33
740,52669.00,60170.00,58646.00,57161.67
741,67744.00,69336.00,69824.00,68968.00
742,75727.00,75952.00,77870.00,76516.33
743,51620.00,58867.00,57587.00,56024.67
744,98269.00,102125.00,103611.00,101335.00
745,36550.00,34141.00,35967.00,35552.67
746,82188.00,82188.00,85186.00,83187.33
747,60000.00,57375.00,64250.00,60541.67
748,54219.00,61667.00,72250.00,62712.00
749,109688.00,151250.00,151964.00,137634.00
750,51912.00,52774.00,52731.00,52472.33
752,72679.00,111429.00,125750.00,103286.00
754,93472.00,86389.00,117885.00,99248.67
756,66090.00,62935.00,83026.00,70683.67
757.01,75382.00,69375.00,76774.00,73843.67
757.02,71875.00,86607.00,80135.00,79539.00
758,83015.00,84044.00,84318.00,83792.33
760,45288.00,41364.00,42955.00,43202.33
762,47519.00,46667.00,44250.00,46145.33
764,50773.00,47364.00,54636.00,50924.33
766,57773.00,59926.00,59653.00,59117.33
768,51875.00,44858.00,42500.00,46411.00
769.01,81297.00,76538.00,77135.00,78323.33
769.02,84960.00,85452.00,81131.00,83847.67
770,55264.00,54732.00,48611.00,52869.00
772,56786.00,61117.00,60518.00,59473.67
773,71178.00,73566.00,72775.00,72506.33
774,50463.00,49125.00,57022.00,52203.33
775,75341.00,69750.00,64977.00,70022.67
776,57375.00,62529.00,57000.00,58968.00
779.02,93059.00,83629.00,81616.00,86101.33
779.03,67670.00,69216.00,73790.00,70225.33
779.04,59980.00,59905.00,60521.00,60135.33
779.05,63776.00,62772.00,66458.00,64335.33
779.06,50932.00,56012.00,61523.00,56155.67
779.07,41118.00,44524.00,44036.00,43226.00
779.08,46731.00,52349.00,50703.00,49927.67
780,80996.00,81299.00,84159.00,82151.33
782,48807.00,51975.00,56618.00,52466.67
784,89688.00,93176.00,79000.00,87288.00
786,40378.00,42482.00,45114.00,42658.00
788,49476.00,49469.00,49400.50,49448.50
790,48360.50,50867.00,47959.50,49062.33
792,49007.50,48960.00,49712.00,49226.50
794,35082.00,45227.00,36237.00,38848.67
796.01,44138.00,46450.00,53289.00,47959.00
796.02,38243.00,38227.00,40000.00,38823.33
797.01,52431.00,48201.00,36663.00,45765.00
797.02,35547.00,32403.00,36044.00,34664.67
798.01,52042.00,61250.00,71272.00,61521.33
798.02,50917.00,53221.00,60696.00,54944.67
799,45000.00,42250.00,42188.00,43146.00
800,51520.00,55833.00,67981.00,58444.67
802,42652.00,41607.00,45030.00,43096.33
803.01,49572.00,50707.00,53021.00,51100.00
803.02,53882.00,62813.00,68010.00,61568.33
804,32978.00,31941.00,32899.00,32606.00
806,41167.00,39194.00,39536.00,39965.67
808,11012.00,9829.00,9740.00,10193.67
809,81250.00,66000.00,67891.00,71713.67
810,48239.00,40698.00,43229.00,44055.33
814,47802.50,54309.50,51229.50,51113.83
816,45573.00,45125.00,41071.00,43923.00
818,47274.00,49609.50,52999.50,49961.00
820,42458.00,36472.00,36921.00,38617.00
822,39606.00,38997.00,41118.00,39907.00
824,40938.00,44432.00,43155.00,42841.67
826,37708.00,44120.00,44063.00,41963.67
828,51050.00,47269.00,49632.00,49317.00
830,47403.00,45598.00,50606.00,47869.00
832,63000.00,62083.00,63708.00,62930.33
834,75819.00,57708.00,56726.00,63417.67
836,54286.00,58068.00,67454.00,59936.00
837,51535.00,50947.00,51122.00,51201.33
838,70784.50,66342.50,62329.00,66485.33
840,55232.50,54407.50,52642.00,54094.00
845,24818.00,24335.00,25258.00,24803.67
846,57125.00,48182.00,53594.00,52967.00
846.01,61382.00,63971.00,70208.00,65187.00
846.02,60375.00,56167.00,59286.00,58609.33
848,51923.00,52232.00,54120.00,52758.33
849,32195.00,26711.00,26512.00,28472.67
850,64831.00,75417.00,70208.00,70152.00
853,32217.00,37275.00,36546.00,35346.00
854,40481.00,39819.00,47763.00,42687.67
855,48497.00,44422.00,36980.00,43299.67
856,51875.00,52554.00,49657.00,51362.00
857,37643.00,36236.00,39517.00,37798.67
858,47670.00,52083.00,52344.00,50699.00
859,36903.00,38788.00,44861.00,40184.00
860,40963.00,42270.00,51333.00,44855.33
861,47887.00,40610.00,38967.00,42488.00
862,40385.00,44018.00,48750.00,44384.33
863,32094.00,32721.00,38958.00,34591.00
864,60553.50,49089.50,49296.00,52979.67
865,36657.00,30350.00,29147.00,32051.33
866,42179.00,46438.00,45451.00,44689.33
868,40732.00,47679.00,57850.00,48753.67
869,37083.00,34519.00,31154.00,34252.00
870,35606.00,33750.00,35938.00,35098.00
871,25069.00,31364.00,38115.00,31516.00
872,38604.00,42891.00,40965.00,40820.00
874.01,25727.00,30150.00,29656.00,28511.00
876,39784.00,40109.00,31712.00,37201.67
878,44375.00,40208.00,36693.00,40425.33
880,55085.00,51827.00,50302.00,52404.67
882,45072.00,46750.00,48043.00,46621.67
884,56971.00,57136.50,58441.00,57516.17
886,37420.00,45208.00,37359.00,39995.67
888,39049.00,43046.00,45131.00,42408.67
889.01,50630.00,42276.00,46038.00,46314.67
890,29000.00,28688.00,29082.00,28923.33
892,54517.00,55357.50,58076.50,55983.67
894,41908.00,43159.00,41269.00,42112.00
896,34535.00,34482.00,37168.00,35395.00
898,39028.00,38988.00,40000.00,39338.67
900,28154.00,27716.00,25049.00,26973.00
902,46987.00,42734.00,41250.00,43657.00
906,18768.00,15674.00,14500.00,16314.00
907,47857.00,58906.00,51750.00,52837.67
908,13235.00,12863.00,12052.00,12716.67
910,11761.00,10746.00,11014.00,11173.67
912,19427.00,20360.00,21747.00,20511.33
916,27639.00,31105.00,32610.00,30451.33
916.01,82230.00,93333.00,100909.00,92157.33
918,31447.00,27500.00,30326.00,29757.67
919,55613.00,46777.00,48304.00,50231.33
920,33210.00,32292.00,39570.00,35024.00
922,87244.50,75211.50,81686.00,81380.67
924,37991.00,37266.00,36500.00,37252.33
925,51179.00,48016.00,41969.00,47054.67
928,86852.50,84727.00,94732.00,88770.50
929,55162.00,55000.00,54389.00,54850.33
930,58289.00,56014.00,58914.00,57739.00
932,77750.00,83500.00,86563.00,82604.33
934,52379.00,51648.00,48941.00,50989.33
934.01,81182.00,81939.00,80718.00,81279.67
934.02,83313.00,70577.00,80379.00,78089.67
936,78063.00,71964.00,72813.00,74280.00
938,37737.50,47880.00,48351.00,44656.17
939,70556.00,72908.00,73750.00,72404.67
942.01,54496.00,52965.00,53049.00,53503.33
942.02,47292.00,44474.00,40649.00,44138.33
942.03,44502.00,44689.00,48114.00,45768.33
944.01,59620.00,66167.00,71591.00,65792.67
944.02,27650.00,23417.00,17000.00,22689.00
945,72159.00,72243.00,77227.00,73876.33
946,61750.00,60950.00,58026.00,60242.00
947,64485.00,61932.00,62647.00,63021.33
950,73750.00,68854.00,73472.00,72025.33
954,60196.50,67034.00,65238.50,64156.33
956,65944.00,65459.00,63456.00,64953.00
958,70378.00,62431.00,62671.00,65160.00
962,67063.00,64750.00,70298.00,67370.33
964,57132.50,54975.50,59256.00,57121.33
966,74345.00,70625.00,63472.00,69480.67
968,59417.00,62250.00,62308.00,61325.00
970,75781.00,81548.00,76094.00,77807.67
972.02,25385.00,35531.00,32917.00,31277.67
972.03,20629.00,20712.00,21014.00,20785.00
972.04,42321.00,40506.00,40893.00,41240.00
973,102727.00,86500.00,83125.00,90784.00
974,65339.00,56992.00,60417.00,60916.00
981,74208.00,78512.00,89750.00,80823.33
982,21156.00,19720.00,23279.00,21385.00
984,82625.00,71146.00,67961.00,73910.67
986,66633.00,69375.00,66845.00,67617.67
987,91207.00,71250.00,67802.00,76753.00
988,53854.00,59348.00,65921.00,59707.67
990,58681.00,75208.00,88824.00,74237.67
991,94330.00,88793.00,95150.00,92757.67
992,55038.50,53117.50,51864.50,53340.17
994,67019.00,64043.00,65489.00,65517.00
996,77611.00,64375.00,69444.00,70476.67
997.01,69306.00,75852.00,76563.00,73907.00
997.03,100018.00,94098.00,94303.00,96139.67
997.04,67485.00,67131.00,67485.00,67367.00
997.05,70313.00,71310.00,83646.00,75089.67
998,67569.00,72143.00,71829.00,70513.67
998.01,58143.00,61434.00,58571.00,59382.67
998.02,22223.00,34287.00,32754.00,29754.67
1004,68953.00,66105.00,68700.00,67919.33
1006,59000.00,65096.00,78304.00,67466.67
1008,59375.00,60446.00,62794.00,60871.67
1008.01,80820.00,75800.00,79375.00,78665.00
1008.02,57725.00,59544.00,56734.00,58001.00
1010,61033.00,59840.00,59386.00,60086.33
1010.01,24480.00,24703.00,27222.00,25468.33
1010.02,27321.00,41172.00,32778.00,33757.00
1012,64811.00,64760.00,54375.00,61315.33
1014,70833.00,60969.00,60625.00,64142.33
1016,97679.00,98208.00,98821.00,98236.00
1017,62093.00,69891.00,68295.00,66759.67
1018,85388.00,73667.00,71650.00,76901.67
1020,94405.00,84563.00,96000.00,91656.00
1022,53984.00,57143.00,63000.00,58042.33
1024,57533.00,74009.00,83641.00,71727.67
1026,69574.00,67955.00,72589.00,70039.33
1028,70924.00,62216.00,73000.00,68713.33
1029,64816.00,66574.00,64167.00,65185.67
1032.01,29567.00,40399.00,38750.00,36238.67
1032.02,66076.00,47935.00,56898.00,56969.67
1033,76172.00,71917.00,81250.00,76446.33
1034,17092.00,18158.00,23133.00,19461.00
1039,82075.00,80830.00,75938.00,79614.33
1047,53291.00,52264.00,51592.00,52382.33
1058.01,27552.00,25276.00,20305.00,24377.67
1058.04,27724.00,27649.00,28663.00,28012.00
1059,80755.00,87064.00,85719.00,84512.67
1070,66563.00,77768.00,80663.00,74998.00
1072.01,70401.00,71667.00,77958.00,73342.00
1078,60319.00,59455.00,63563.00,61112.33
1085,58929.00,66467.00,67500.00,64298.67
1093,103409.00,95109.00,90703.00,96407.00
1097,92222.00,100089.00,95139.00,95816.67
1098,45714.00,43664.00,46701.00,45359.67
1099,76484.00,76250.00,74300.00,75678.00
1104,34462.00,44063.00,45278.00,41267.67
1106,27846.00,24564.00,22321.00,24910.33
1110,20675.00,16716.00,16449.00,17946.67
1113,79891.00,79917.00,80694.00,80167.33
1116,36463.00,36175.00,37917.00,36851.67
1118,30564.00,33160.00,35313.00,33012.33
1120,26719.00,21507.00,25669.00,24631.67
1122,29950.00,30987.00,29699.00,30212.00
1123,65326.00,72750.00,81500.00,73192.00
1124,40580.00,40707.00,44489.00,41925.33
1126,38902.00,40323.00,41097.00,40107.33
1128,38235.00,34028.00,38987.00,37083.33
1129,77443.00,90455.00,87321.00,85073.00
1130,28500.00,29038.00,28164.00,28567.33
1132,53587.00,49250.00,50952.00,51263.00
1133,83611.00,76106.00,81250.00,80322.33
1134,17308.00,19205.00,19191.00,18568.00
1139,60677.00,60972.00,60655.00,60768.00
1141,101979.00,111250.00,115375.00,109534.67
1142.01,37048.00,45682.00,36272.00,39667.33
1142.02,36333.00,41352.00,49662.00,42449.00
1144,24333.00,26429.00,21824.00,24195.33
1146,31477.00,30101.00,42308.00,34628.67
1147,80511.00,74861.00,90700.00,82024.00
1150,33438.00,40104.00,40227.00,37923.00
1151,72011.00,70404.00,72778.00,71731.00
1152,27155.00,32500.00,36176.00,31943.67
1155,79397.00,71250.00,51500.00,67382.33
1156,14154.00,15854.00,15433.00,15147.00
1157,52614.00,53636.00,45809.00,50686.33
1158,43806.00,44142.00,47230.00,45059.33
1159,61061.00,60469.00,57448.00,59659.33
1160,24766.00,26745.00,28750.00,26753.67
1161,50452.00,47432.00,42484.00,46789.33
1162,46463.00,42829.00,43359.00,44217.00
1163,38378.00,36127.00,34534.00,36346.33
1164,38137.00,40357.00,50060.00,42851.33
1166,30060.00,33892.00,39821.00,34591.00
1167,42857.00,37356.00,30662.00,36958.33
1168,26921.00,31983.00,36750.00,31884.67
1170,37463.00,35889.00,36813.00,36721.67
1171,42139.00,40508.00,41940.00,41529.00
1172.01,48897.00,51042.00,55594.00,51844.33
1172.02,45938.00,52260.00,51157.00,49785.00
1174,49472.00,53549.00,51891.00,51637.33
1175,63861.00,63670.00,64025.00,63852.00
1176.01,43000.00,44088.00,46389.00,44492.33
1176.02,31543.00,28304.00,40020.00,33289.00
1178,36555.00,36061.00,45536.00,39384.00
1181,61649.00,66484.00,61898.00,63343.67
